education,race,gender,age,income
11.0,16.0,1.0,42.0,1800.0
0.0,4.0,1.0,5.0,
0.0,16.0,1.0,0.0,
11.0,4.0,1.0,45.0,800.0
11.0,2.0,2.0,22.0,400.0
11.0,16.0,2.0,34.0,622.0
7.0,16.0,2.0,14.0,
0.0,2.0,1.0,73.0,622.0
2.0,4.0,2.0,69.0,622.0
11.0,4.0,1.0,26.0,1500.0
11.0,16.0,2.0,25.0,1200.0
0.0,16.0,2.0,3.0,
0.0,4.0,2.0,44.0,
3.0,4.0,1.0,30.0,1500.0
0.0,16.0,2.0,78.0,1244.0
11.0,16.0,1.0,49.0,1500.0
11.0,16.0,2.0,43.0,
9.0,16.0,2.0,16.0,622.0
4.0,16.0,1.0,50.0,1000.0
4.0,16.0,2.0,43.0,1000.0
13.0,16.0,2.0,20.0,
12.0,16.0,1.0,19.0,800.0
5.0,16.0,1.0,49.0,1200.0
8.0,4.0,2.0,28.0,
8.0,16.0,1.0,42.0,600.0
9.0,4.0,2.0,41.0,300.0
7.0,4.0,2.0,16.0,
4.0,16.0,1.0,60.0,622.0
6.0,16.0,2.0,46.0,
8.0,16.0,1.0,23.0,1300.0
9.0,16.0,2.0,18.0,
6.0,16.0,2.0,16.0,
12.0,2.0,1.0,29.0,800.0
10.0,4.0,2.0,32.0,
0.0,2.0,2.0,8.0,
0.0,2.0,1.0,76.0,622.0
8.0,4.0,1.0,31.0,800.0
11.0,16.0,2.0,29.0,
2.0,4.0,1.0,10.0,
0.0,4.0,2.0,5.0,
0.0,16.0,2.0,57.0,
4.0,16.0,2.0,62.0,622.0
5.0,16.0,1.0,32.0,
11.0,16.0,1.0,28.0,1200.0
8.0,4.0,2.0,23.0,
11.0,16.0,1.0,26.0,1600.0
0.0,4.0,2.0,0.0,
8.0,16.0,1.0,24.0,1500.0
11.0,16.0,2.0,26.0,700.0
8.0,4.0,2.0,33.0,825.0
9.0,4.0,2.0,16.0,200.0
4.0,4.0,2.0,12.0,
1.0,4.0,2.0,8.0,
4.0,16.0,1.0,56.0,1200.0
3.0,16.0,2.0,52.0,
6.0,2.0,1.0,24.0,700.0
7.0,4.0,2.0,20.0,102.0
0.0,2.0,2.0,2.0,
11.0,4.0,2.0,36.0,1300.0
9.0,4.0,2.0,16.0,
8.0,4.0,1.0,41.0,2000.0
11.0,4.0,2.0,33.0,950.0
4.0,4.0,2.0,11.0,
0.0,2.0,1.0,53.0,
8.0,2.0,2.0,29.0,
5.0,4.0,1.0,31.0,960.0
11.0,4.0,1.0,35.0,1000.0
5.0,4.0,2.0,11.0,
0.0,4.0,2.0,6.0,
4.0,16.0,2.0,51.0,
4.0,4.0,1.0,57.0,622.0
11.0,4.0,1.0,23.0,1200.0
11.0,4.0,2.0,44.0,1300.0
11.0,4.0,1.0,35.0,2000.0
0.0,4.0,1.0,7.0,
5.0,16.0,2.0,42.0,622.0
8.0,16.0,1.0,17.0,
8.0,16.0,2.0,66.0,622.0
4.0,16.0,1.0,40.0,
11.0,16.0,1.0,34.0,865.0
11.0,4.0,2.0,36.0,
11.0,4.0,1.0,25.0,1300.0
11.0,4.0,2.0,43.0,
11.0,4.0,2.0,21.0,622.0
11.0,2.0,2.0,41.0,622.0
11.0,2.0,2.0,29.0,
11.0,4.0,2.0,26.0,809.0
0.0,4.0,1.0,1.0,
11.0,4.0,1.0,36.0,950.0
9.0,4.0,2.0,35.0,622.0
12.0,2.0,2.0,48.0,2600.0
11.0,16.0,1.0,64.0,2500.0
6.0,16.0,1.0,13.0,
11.0,4.0,1.0,27.0,800.0
6.0,4.0,2.0,18.0,
0.0,4.0,1.0,1.0,
0.0,4.0,2.0,28.0,850.0
0.0,16.0,1.0,83.0,622.0
0.0,4.0,2.0,73.0,
0.0,4.0,1.0,51.0,1500.0
12.0,4.0,2.0,25.0,700.0
1.0,4.0,2.0,8.0,
0.0,4.0,1.0,5.0,
8.0,4.0,2.0,48.0,104.0
0.0,4.0,1.0,45.0,622.0
10.0,4.0,2.0,19.0,622.0
7.0,4.0,1.0,16.0,
11.0,16.0,1.0,45.0,7000.0
11.0,16.0,2.0,42.0,1900.0
12.0,16.0,1.0,22.0,
11.0,16.0,2.0,57.0,
0.0,4.0,2.0,75.0,622.0
0.0,4.0,1.0,84.0,622.0
8.0,16.0,1.0,43.0,1600.0
11.0,16.0,2.0,35.0,622.0
11.0,16.0,1.0,21.0,
4.0,16.0,2.0,12.0,
5.0,4.0,1.0,64.0,1200.0
5.0,16.0,2.0,54.0,622.0
9.0,4.0,1.0,20.0,1200.0
5.0,16.0,2.0,35.0,622.0
11.0,16.0,1.0,19.0,622.0
11.0,4.0,2.0,33.0,
10.0,2.0,1.0,27.0,900.0
4.0,4.0,2.0,27.0,823.0
4.0,4.0,1.0,29.0,880.0
0.0,4.0,1.0,3.0,
11.0,16.0,2.0,42.0,800.0
11.0,4.0,1.0,36.0,3200.0
9.0,16.0,1.0,15.0,450.0
5.0,4.0,2.0,44.0,
3.0,2.0,1.0,47.0,1200.0
8.0,16.0,1.0,24.0,800.0
0.0,16.0,2.0,3.0,
10.0,4.0,2.0,19.0,
0.0,4.0,1.0,1.0,
5.0,16.0,2.0,30.0,
5.0,2.0,1.0,34.0,2000.0
0.0,4.0,1.0,8.0,
0.0,4.0,1.0,0.0,
3.0,16.0,2.0,40.0,350.0
5.0,16.0,1.0,41.0,700.0
10.0,16.0,2.0,18.0,
11.0,4.0,2.0,29.0,
11.0,2.0,1.0,29.0,622.0
0.0,4.0,2.0,1.0,
8.0,16.0,1.0,24.0,1200.0
8.0,2.0,2.0,24.0,
0.0,4.0,1.0,2.0,
11.0,4.0,2.0,28.0,200.0
11.0,4.0,1.0,30.0,622.0
4.0,4.0,2.0,13.0,
3.0,4.0,2.0,11.0,
0.0,4.0,1.0,7.0,
11.0,4.0,2.0,45.0,720.0
9.0,4.0,1.0,48.0,1200.0
15.0,4.0,1.0,20.0,
9.0,4.0,1.0,18.0,950.0
4.0,16.0,2.0,38.0,1200.0
5.0,4.0,1.0,37.0,450.0
2.0,4.0,2.0,10.0,
5.0,4.0,2.0,47.0,1200.0
10.0,4.0,2.0,26.0,666.0
2.0,16.0,2.0,9.0,
0.0,4.0,1.0,7.0,
0.0,4.0,1.0,2.0,
6.0,4.0,1.0,29.0,622.0
5.0,4.0,2.0,16.0,
4.0,2.0,1.0,25.0,1000.0
7.0,16.0,2.0,26.0,300.0
3.0,4.0,1.0,12.0,
1.0,4.0,1.0,10.0,
0.0,4.0,1.0,7.0,
0.0,2.0,1.0,2.0,
0.0,4.0,2.0,0.0,
1.0,2.0,1.0,66.0,622.0
1.0,4.0,2.0,53.0,240.0
10.0,4.0,2.0,17.0,450.0
6.0,2.0,1.0,32.0,982.0
,2.0,2.0,28.0,712.0
4.0,2.0,2.0,11.0,
1.0,2.0,2.0,9.0,
0.0,2.0,1.0,7.0,
6.0,4.0,2.0,23.0,
5.0,4.0,1.0,28.0,3000.0
0.0,4.0,2.0,7.0,
0.0,4.0,2.0,5.0,
0.0,4.0,2.0,1.0,
7.0,4.0,2.0,18.0,
0.0,16.0,1.0,39.0,1000.0
0.0,16.0,1.0,1.0,
11.0,4.0,1.0,30.0,600.0
7.0,4.0,2.0,23.0,326.0
0.0,4.0,2.0,7.0,
0.0,4.0,2.0,5.0,
0.0,4.0,1.0,4.0,
0.0,4.0,2.0,2.0,
4.0,4.0,1.0,31.0,700.0
6.0,4.0,2.0,27.0,202.0
0.0,4.0,2.0,8.0,
0.0,4.0,2.0,2.0,
11.0,16.0,1.0,20.0,650.0
8.0,16.0,2.0,18.0,
6.0,16.0,2.0,33.0,96.0
5.0,16.0,1.0,31.0,800.0
0.0,16.0,2.0,5.0,
0.0,16.0,2.0,4.0,
0.0,16.0,1.0,2.0,
7.0,4.0,2.0,17.0,
8.0,4.0,1.0,27.0,1500.0
0.0,4.0,2.0,0.0,
11.0,16.0,2.0,27.0,67.0
11.0,4.0,1.0,28.0,1700.0
0.0,4.0,2.0,4.0,
0.0,4.0,2.0,0.0,
8.0,4.0,2.0,44.0,600.0
0.0,2.0,1.0,56.0,1000.0
5.0,4.0,1.0,30.0,600.0
8.0,16.0,1.0,24.0,749.0
8.0,16.0,2.0,28.0,134.0
0.0,16.0,1.0,2.0,
5.0,4.0,2.0,28.0,166.0
3.0,4.0,1.0,42.0,300.0
3.0,4.0,1.0,11.0,
0.0,16.0,2.0,8.0,
0.0,16.0,2.0,6.0,
2.0,16.0,1.0,50.0,1300.0
5.0,16.0,2.0,44.0,
11.0,16.0,1.0,19.0,1000.0
1.0,4.0,2.0,63.0,1244.0
5.0,4.0,1.0,34.0,300.0
0.0,16.0,2.0,60.0,1244.0
5.0,16.0,1.0,35.0,250.0
8.0,16.0,2.0,21.0,
8.0,4.0,1.0,46.0,800.0
4.0,4.0,2.0,36.0,
2.0,4.0,1.0,19.0,
8.0,4.0,2.0,16.0,37.0
4.0,4.0,1.0,12.0,37.0
2.0,4.0,1.0,10.0,37.0
0.0,16.0,1.0,60.0,922.0
0.0,16.0,2.0,61.0,1244.0
5.0,16.0,1.0,26.0,
4.0,16.0,1.0,55.0,2000.0
4.0,16.0,2.0,45.0,
11.0,16.0,1.0,24.0,
3.0,16.0,1.0,40.0,3600.0
4.0,16.0,2.0,30.0,
1.0,16.0,1.0,9.0,
0.0,16.0,2.0,3.0,
4.0,2.0,1.0,44.0,650.0
15.0,4.0,2.0,44.0,134.0
6.0,2.0,2.0,13.0,
4.0,4.0,1.0,11.0,
0.0,16.0,1.0,79.0,622.0
0.0,16.0,2.0,71.0,622.0
1.0,16.0,1.0,50.0,1000.0
4.0,16.0,2.0,47.0,
4.0,16.0,1.0,20.0,
4.0,4.0,2.0,49.0,
5.0,4.0,1.0,56.0,300.0
8.0,16.0,1.0,31.0,920.0
8.0,16.0,2.0,24.0,
0.0,16.0,1.0,0.0,
7.0,16.0,1.0,44.0,200.0
4.0,4.0,2.0,35.0,134.0
2.0,4.0,1.0,9.0,
0.0,4.0,2.0,6.0,
11.0,16.0,2.0,33.0,109.0
11.0,4.0,1.0,27.0,1400.0
4.0,4.0,2.0,14.0,
4.0,16.0,1.0,11.0,
4.0,16.0,1.0,31.0,1000.0
9.0,16.0,2.0,26.0,
0.0,16.0,2.0,1.0,
9.0,16.0,2.0,20.0,
13.0,4.0,1.0,33.0,1500.0
11.0,4.0,2.0,25.0,900.0
4.0,4.0,1.0,42.0,750.0
11.0,4.0,2.0,29.0,
6.0,4.0,2.0,13.0,
6.0,4.0,1.0,11.0,
1.0,4.0,1.0,9.0,
0.0,4.0,1.0,4.0,
4.0,4.0,2.0,31.0,196.0
1.0,2.0,1.0,52.0,1150.0
4.0,4.0,2.0,12.0,
2.0,4.0,1.0,10.0,
0.0,4.0,1.0,8.0,
5.0,4.0,1.0,19.0,1100.0
4.0,4.0,2.0,16.0,
11.0,4.0,1.0,38.0,1500.0
15.0,4.0,2.0,36.0,800.0
10.0,4.0,1.0,18.0,700.0
8.0,4.0,1.0,15.0,
3.0,4.0,1.0,11.0,
0.0,4.0,1.0,10.0,
0.0,4.0,2.0,65.0,622.0
4.0,4.0,2.0,32.0,622.0
9.0,4.0,1.0,21.0,800.0
7.0,4.0,1.0,47.0,800.0
3.0,2.0,2.0,48.0,
10.0,4.0,2.0,17.0,
15.0,4.0,2.0,35.0,1250.0
0.0,4.0,2.0,7.0,
8.0,2.0,1.0,36.0,2500.0
9.0,4.0,2.0,32.0,166.0
3.0,16.0,1.0,10.0,
0.0,4.0,2.0,8.0,
0.0,4.0,1.0,6.0,
5.0,4.0,2.0,47.0,1750.0
9.0,4.0,2.0,17.0,622.0
1.0,4.0,2.0,68.0,622.0
7.0,2.0,1.0,23.0,1100.0
9.0,2.0,2.0,25.0,
0.0,2.0,1.0,1.0,
4.0,16.0,2.0,65.0,622.0
4.0,4.0,1.0,30.0,700.0
0.0,4.0,2.0,45.0,160.0
7.0,16.0,2.0,24.0,
3.0,4.0,1.0,14.0,
2.0,4.0,2.0,11.0,
0.0,16.0,1.0,7.0,
4.0,4.0,2.0,42.0,800.0
4.0,4.0,1.0,15.0,450.0
11.0,2.0,1.0,21.0,850.0
11.0,2.0,2.0,19.0,850.0
4.0,16.0,2.0,28.0,164.0
8.0,16.0,1.0,54.0,500.0
0.0,16.0,1.0,4.0,
4.0,4.0,1.0,15.0,
13.0,2.0,1.0,24.0,800.0
11.0,2.0,2.0,21.0,622.0
0.0,2.0,2.0,1.0,
14.0,2.0,2.0,22.0,800.0
11.0,16.0,2.0,20.0,600.0
4.0,16.0,2.0,60.0,
8.0,4.0,1.0,23.0,800.0
11.0,16.0,2.0,54.0,622.0
13.0,2.0,1.0,41.0,900.0
11.0,2.0,2.0,24.0,730.0
0.0,2.0,1.0,4.0,
15.0,16.0,1.0,40.0,1200.0
15.0,4.0,2.0,31.0,2300.0
0.0,4.0,2.0,2.0,
12.0,2.0,1.0,32.0,200.0
11.0,4.0,2.0,26.0,250.0
0.0,4.0,1.0,2.0,
0.0,4.0,1.0,49.0,800.0
3.0,16.0,2.0,32.0,250.0
7.0,16.0,1.0,16.0,411.0
7.0,16.0,2.0,14.0,100.0
2.0,16.0,2.0,9.0,
0.0,16.0,2.0,5.0,
5.0,16.0,1.0,38.0,1400.0
7.0,16.0,2.0,33.0,622.0
11.0,16.0,1.0,17.0,720.0
0.0,16.0,1.0,2.0,
15.0,2.0,2.0,58.0,1200.0
11.0,4.0,1.0,51.0,5200.0
11.0,2.0,1.0,31.0,900.0
6.0,4.0,2.0,19.0,
0.0,16.0,2.0,8.0,
4.0,4.0,1.0,58.0,720.0
0.0,4.0,2.0,49.0,
7.0,4.0,2.0,16.0,
5.0,4.0,2.0,13.0,
1.0,4.0,1.0,11.0,
11.0,4.0,1.0,29.0,1044.0
11.0,4.0,2.0,30.0,1044.0
0.0,16.0,2.0,6.0,
4.0,4.0,2.0,51.0,733.0
3.0,16.0,1.0,46.0,1500.0
6.0,4.0,2.0,39.0,870.0
9.0,4.0,2.0,16.0,202.0
8.0,4.0,2.0,14.0,51.0
3.0,4.0,2.0,11.0,51.0
2.0,4.0,1.0,9.0,
4.0,4.0,1.0,47.0,622.0
4.0,4.0,2.0,43.0,450.0
11.0,4.0,1.0,24.0,800.0
6.0,16.0,1.0,20.0,
0.0,4.0,2.0,5.0,
10.0,4.0,1.0,40.0,2800.0
11.0,4.0,2.0,43.0,
0.0,4.0,2.0,1.0,
,4.0,2.0,24.0,182.0
0.0,4.0,2.0,3.0,
2.0,4.0,2.0,61.0,622.0
5.0,16.0,1.0,67.0,622.0
15.0,16.0,2.0,35.0,692.0
4.0,16.0,1.0,44.0,622.0
5.0,16.0,1.0,59.0,1422.0
11.0,16.0,2.0,55.0,1866.0
0.0,4.0,1.0,45.0,720.0
4.0,4.0,2.0,24.0,102.0
0.0,4.0,2.0,6.0,
4.0,4.0,1.0,20.0,950.0
10.0,4.0,2.0,19.0,
0.0,4.0,2.0,0.0,
11.0,2.0,1.0,38.0,1500.0
11.0,16.0,2.0,31.0,
0.0,4.0,1.0,5.0,
4.0,4.0,1.0,35.0,622.0
4.0,4.0,2.0,22.0,
0.0,16.0,1.0,77.0,622.0
0.0,4.0,2.0,73.0,622.0
4.0,2.0,1.0,66.0,1122.0
0.0,4.0,2.0,56.0,622.0
11.0,4.0,1.0,26.0,1400.0
11.0,2.0,2.0,21.0,
11.0,2.0,1.0,30.0,200.0
11.0,16.0,2.0,23.0,196.0
0.0,4.0,1.0,3.0,
6.0,16.0,1.0,39.0,400.0
6.0,4.0,2.0,32.0,134.0
0.0,16.0,2.0,5.0,
0.0,16.0,1.0,1.0,
2.0,16.0,2.0,68.0,1244.0
2.0,16.0,1.0,34.0,600.0
3.0,16.0,1.0,49.0,1120.0
8.0,4.0,2.0,41.0,
4.0,2.0,1.0,38.0,1000.0
15.0,2.0,2.0,40.0,1500.0
7.0,2.0,2.0,14.0,
2.0,2.0,1.0,9.0,
0.0,4.0,1.0,59.0,622.0
2.0,4.0,2.0,54.0,
11.0,16.0,1.0,50.0,3700.0
15.0,16.0,2.0,51.0,622.0
12.0,16.0,1.0,20.0,
11.0,16.0,1.0,55.0,700.0
11.0,4.0,2.0,41.0,302.0
10.0,4.0,2.0,16.0,
0.0,4.0,1.0,66.0,1122.0
0.0,16.0,2.0,67.0,622.0
11.0,2.0,1.0,38.0,1272.0
11.0,16.0,2.0,30.0,940.0
0.0,4.0,1.0,6.0,
4.0,4.0,1.0,48.0,1890.0
,4.0,2.0,34.0,680.0
8.0,4.0,2.0,15.0,
4.0,16.0,1.0,65.0,622.0
3.0,4.0,2.0,65.0,622.0
0.0,2.0,1.0,45.0,
5.0,16.0,2.0,35.0,724.0
9.0,4.0,2.0,15.0,
0.0,4.0,1.0,51.0,350.0
11.0,4.0,2.0,43.0,95.0
8.0,4.0,1.0,22.0,
4.0,4.0,1.0,47.0,900.0
1.0,4.0,2.0,44.0,100.0
9.0,4.0,1.0,16.0,
12.0,16.0,1.0,38.0,10000.0
15.0,16.0,2.0,38.0,2000.0
12.0,16.0,1.0,20.0,
8.0,16.0,1.0,16.0,
12.0,16.0,1.0,44.0,1500.0
6.0,4.0,2.0,39.0,1000.0
3.0,4.0,1.0,18.0,622.0
11.0,16.0,1.0,60.0,5000.0
11.0,16.0,2.0,55.0,800.0
15.0,16.0,1.0,23.0,
15.0,16.0,2.0,30.0,2000.0
5.0,16.0,1.0,11.0,500.0
0.0,16.0,2.0,5.0,
15.0,16.0,1.0,69.0,5490.0
0.0,4.0,2.0,69.0,
6.0,16.0,1.0,14.0,
11.0,4.0,1.0,46.0,3000.0
1.0,4.0,2.0,46.0,
5.0,4.0,2.0,12.0,
2.0,4.0,1.0,56.0,700.0
0.0,4.0,2.0,52.0,622.0
9.0,4.0,1.0,23.0,700.0
7.0,4.0,1.0,74.0,700.0
11.0,4.0,2.0,64.0,1300.0
11.0,16.0,2.0,32.0,1600.0
0.0,16.0,1.0,4.0,
4.0,16.0,2.0,56.0,
0.0,16.0,2.0,7.0,
0.0,16.0,2.0,54.0,622.0
11.0,4.0,1.0,34.0,
9.0,16.0,1.0,31.0,
11.0,16.0,1.0,55.0,
0.0,16.0,2.0,43.0,720.0
11.0,16.0,1.0,24.0,500.0
8.0,16.0,1.0,40.0,2000.0
14.0,4.0,2.0,39.0,1300.0
9.0,4.0,2.0,16.0,
1.0,16.0,1.0,8.0,
14.0,4.0,2.0,22.0,1400.0
8.0,16.0,1.0,26.0,650.0
11.0,4.0,2.0,20.0,622.0
15.0,16.0,2.0,28.0,850.0
15.0,4.0,1.0,29.0,3000.0
0.0,16.0,2.0,6.0,
0.0,4.0,1.0,1.0,
15.0,16.0,2.0,46.0,800.0
11.0,16.0,2.0,26.0,950.0
2.0,4.0,2.0,56.0,
7.0,4.0,2.0,25.0,440.0
8.0,16.0,1.0,20.0,
0.0,4.0,1.0,6.0,
0.0,4.0,2.0,2.0,
0.0,4.0,2.0,0.0,
6.0,4.0,1.0,29.0,1600.0
14.0,4.0,2.0,22.0,622.0
15.0,16.0,2.0,55.0,3000.0
0.0,16.0,2.0,84.0,622.0
0.0,16.0,1.0,80.0,622.0
8.0,4.0,1.0,60.0,1200.0
10.0,4.0,1.0,26.0,
6.0,4.0,2.0,22.0,
0.0,4.0,2.0,2.0,
8.0,4.0,2.0,63.0,400.0
11.0,16.0,1.0,42.0,1200.0
2.0,16.0,2.0,10.0,
15.0,16.0,1.0,51.0,7000.0
15.0,1.0,2.0,49.0,3000.0
11.0,1.0,2.0,25.0,400.0
13.0,1.0,1.0,20.0,1100.0
7.0,1.0,1.0,15.0,
0.0,1.0,1.0,3.0,
10.0,4.0,2.0,17.0,
8.0,4.0,1.0,21.0,1500.0
8.0,2.0,1.0,24.0,800.0
9.0,2.0,2.0,21.0,750.0
11.0,16.0,1.0,43.0,1200.0
11.0,16.0,2.0,36.0,1000.0
10.0,16.0,1.0,16.0,
7.0,16.0,2.0,13.0,
4.0,4.0,1.0,50.0,650.0
1.0,4.0,2.0,49.0,200.0
11.0,4.0,2.0,18.0,
9.0,4.0,2.0,16.0,
3.0,4.0,1.0,10.0,
3.0,16.0,2.0,43.0,100.0
11.0,4.0,1.0,48.0,622.0
8.0,16.0,1.0,20.0,
11.0,16.0,2.0,18.0,622.0
0.0,16.0,2.0,7.0,
11.0,4.0,2.0,30.0,800.0
13.0,4.0,1.0,30.0,1500.0
0.0,4.0,1.0,8.0,
11.0,16.0,1.0,21.0,1300.0
14.0,16.0,2.0,21.0,700.0
10.0,16.0,1.0,39.0,3400.0
14.0,16.0,2.0,40.0,1546.0
4.0,16.0,1.0,11.0,
0.0,16.0,2.0,6.0,
9.0,4.0,1.0,24.0,2100.0
12.0,4.0,2.0,19.0,240.0
8.0,4.0,2.0,53.0,
4.0,16.0,1.0,51.0,
0.0,16.0,2.0,26.0,622.0
9.0,16.0,2.0,16.0,
4.0,16.0,1.0,44.0,643.0
7.0,16.0,2.0,38.0,633.0
9.0,16.0,2.0,15.0,43.0
7.0,16.0,2.0,14.0,43.0
1.0,4.0,1.0,76.0,622.0
3.0,16.0,2.0,67.0,622.0
2.0,16.0,2.0,30.0,622.0
4.0,16.0,2.0,54.0,670.0
8.0,4.0,2.0,79.0,622.0
0.0,4.0,2.0,48.0,622.0
0.0,4.0,1.0,42.0,622.0
2.0,4.0,1.0,42.0,600.0
0.0,4.0,1.0,67.0,622.0
2.0,4.0,2.0,52.0,
8.0,4.0,1.0,15.0,
2.0,16.0,2.0,10.0,
4.0,16.0,2.0,42.0,
11.0,4.0,2.0,19.0,
7.0,4.0,1.0,16.0,
11.0,16.0,2.0,22.0,
15.0,16.0,1.0,28.0,900.0
0.0,16.0,1.0,1.0,
2.0,16.0,2.0,70.0,622.0
15.0,16.0,1.0,47.0,3200.0
15.0,16.0,2.0,39.0,1200.0
4.0,16.0,2.0,11.0,
2.0,16.0,2.0,9.0,
4.0,1.0,2.0,41.0,900.0
11.0,16.0,2.0,20.0,750.0
4.0,16.0,1.0,60.0,10000.0
4.0,4.0,2.0,52.0,
0.0,16.0,2.0,6.0,
8.0,4.0,1.0,34.0,1000.0
8.0,16.0,1.0,37.0,1450.0
11.0,4.0,2.0,38.0,
8.0,4.0,1.0,39.0,1900.0
8.0,16.0,2.0,39.0,
1.0,4.0,1.0,9.0,
0.0,4.0,1.0,77.0,622.0
4.0,4.0,2.0,71.0,622.0
8.0,16.0,1.0,53.0,2500.0
15.0,16.0,2.0,46.0,1300.0
15.0,16.0,1.0,48.0,2000.0
15.0,16.0,2.0,24.0,1800.0
15.0,16.0,1.0,22.0,
0.0,2.0,1.0,65.0,622.0
0.0,4.0,2.0,66.0,622.0
3.0,4.0,2.0,40.0,206.0
10.0,4.0,1.0,20.0,622.0
11.0,4.0,1.0,19.0,622.0
15.0,16.0,2.0,47.0,
,16.0,2.0,20.0,102.0
0.0,4.0,2.0,2.0,
12.0,16.0,2.0,27.0,1400.0
